Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.101222450007234,-0.134712291964518,0.0611878805385779,0,0,0,5.04599768700975,0.0199585188421209,8.49633695552677E-07,3.57924483955382E-07,0.0133780567917248,-8.69413175240183E-06,0.0204011323429147,0,0,0,0,0,0,package://4wheel_sus/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RFS,0.0724473276378504,-0.031683252131476,0.0253402400459296,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521256E-07,6.30853084344777E-08,6.22704126338856E-05,-2.01894652764195E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_sus/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS2,Axis_RFS,RFS,prismatic,0.10792,-0.012126,0.032608,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,0.0176842754269317,0.00317905396079527,-0.000103745604902616,0,0,0,0.193585420779862,0.000253081141332253,-7.98059977897539E-24,4.95236102613101E-21,0.000136818598566517,4.2351647362715E-22,0.000136818598566517,0,0,0,0,0,0,package://4wheel_sus/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_sus/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW2,RFW,continuous,0.036171,-0.029249,0.061437,-1.8458,0,-3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LFS,0.0666875210853821,-0.0256174029954349,0.0272583251967583,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521521E-07,-6.30853084343059E-08,6.22704126338856E-05,-2.018946527642E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_sus/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS2,Axis_LFS,LFS,prismatic,-0.30216,-0.05081,0.031999,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,0.0176842754249047,-0.00098214776682639,0.00237717934481885,0,0,0,0.193585420779862,0.000253081141332254,-1.35754373945964E-19,-8.02909614531216E-19,0.000136818598566517,-1.01643953670516E-20,0.000136818598566517,0,0,0,0,0,0,package://4wheel_sus/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_sus/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW2,LFW,continuous,0.030411,-0.048258,0.05476,2.4422,0,-3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0666875210853819,-0.0256174029954352,0.0272583251967587,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521415E-07,-6.30853084344921E-08,6.22704126338856E-05,-2.01894652764204E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_sus/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/RBS.STL,,Suspensionsystem-1,Origin_RBS2,Axis_RBS,RBS,prismatic,0.10216,-0.18919,0.034116,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBW,0.0176842754269322,0.00437911242791671,0.00167488661186024,0,0,0,0.193585420779862,0.000253081141332253,7.17108670362947E-19,5.47799407276997E-19,0.000136818598566517,-3.3881317890172E-21,0.000136818598566517,0,0,0,0,0,0,package://4wheel_sus/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_sus/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW2,RBW,continuous,0.030411,-0.048899,0.056777,-2.2437,0,-3.1416,RBS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.07244732763785,-0.0024230655827128,-0.0667549990091168,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521135E-07,6.30853084346611E-08,6.22704126338856E-05,-2.01894652764193E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_sus/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/LBS.STL,,Suspensionsystem2-2,Origin_LBS3,Axis_LBS,LBS,prismatic,-0.30792,-0.22787,-0.039342,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBW,0.0176842754249237,-0.010084618767511,0.0259800171985082,0,0,0,0.193585420779862,0.000253081141332254,1.72925527374671E-20,-3.6518488849057E-21,0.000136818598566517,-6.7762635780344E-21,0.000136818598566517,0,0,0,0,0,0,package://4wheel_sus/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_sus/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW2,LBW,continuous,0.036171,-0.0080345,-0.0073174,2.4422,0,3.1416,LBS,1,0,0,3.1,7,,,,,,,,,,
Camera,-0.0238863602658846,-0.0255006342246767,0.0933352701359988,0,0,0,0.0842240149784746,1.39666964094511E-05,-8.81675038637699E-10,-1.01039030272292E-09,3.67256475244704E-05,-1.51507840680378E-06,3.01150351793437E-05,0,0,0,0,0,0,package://4wheel_sus/meshes/Camera.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_sus/meshes/Camera.STL,,webcam-1,Origin_Camera,,Camera,fixed,-0.13188,-0.10697,0.14474,1.7188,0,3.1056,base_link,0,0,0,,,,,,,,,,,,
